time,Hub Name,Satnet,FWD Total bitrate,FWD Drop bitrate,RTN Total bitrate,RTN Drop bitrate
2020-05-28T00:02:54.728139,KAC_SUB-1,1,121315,0,9519,0
2020-05-28T00:03:13.302128,KAC_SUB-1,2,127468,0,25645,0
2020-05-28T00:03:26.394957,KAC_SUB-1,3,314988884,4025451,40551429,0
2020-05-28T00:03:41.955057,KAC_SUB-1,4,24537228,0,507511,0
2020-05-28T00:03:55.756389,KAC_SUB-1,5,117139,0,2543,0
2020-05-28T00:04:11.083653,KAC_SUB-1,6,112935,0,0,0
2020-05-28T00:04:27.121829,KAC_SUB-1,8,45121,0,0,0
2020-05-28T00:04:40.655122,KAC_SUB-1,9,148384828,0,18370246,0
