time,Hub Name,Satnet,FWD Total bitrate,FWD Drop bitrate,RTN Total bitrate,RTN Drop bitrate
2020-05-28T00:02:54.722143,KAC_SUB-2,1,44985,0,0,0
2020-05-28T00:03:14.302427,KAC_SUB-2,2,115673,0,0,0
2020-05-28T00:03:28.923186,KAC_SUB-2,3,3430889,0,123975,0
2020-05-28T00:03:42.646573,KAC_SUB-2,4,304413,0,673,0
2020-05-28T00:03:55.814349,KAC_SUB-2,5,115658,0,0,0
2020-05-28T00:04:11.170592,KAC_SUB-2,6,45120,0,0,0
2020-05-28T00:04:26.359982,KAC_SUB-2,8,46811,0,0,0
2020-05-28T00:04:40.236206,KAC_SUB-2,9,45134,0,0,0
