time,Hub Name,Satnet,FWD Total bitrate,FWD Drop bitrate,RTN Total bitrate,RTN Drop bitrate
2020-05-28T00:02:54.739131,KAC_JAV-2,1,5699561,31340,315630,0
2020-05-28T00:03:12.443729,KAC_JAV-2,2,1795541,0,1032377,0
2020-05-28T00:03:26.273042,KAC_JAV-2,3,655435,0,40819,0
2020-05-28T00:03:41.098657,KAC_JAV-2,4,25043853,0,2162696,0
2020-05-28T00:03:54.878005,KAC_JAV-2,5,21070365,0,1616941,0
2020-05-28T00:04:12.641726,KAC_JAV-2,6,642817,0,0,0
2020-05-28T00:04:39.910271,KAC_JAV-2,9,580661,0,2950,0
2020-05-28T00:04:56.417969,KAC_JAV-2,10,638261,0,23517,0
2020-05-28T00:05:08.517548,KAC_JAV-2,11,575983,0,0,0
