time,modem name,modemType,macaddress,HPS,beamName,satnetName,VNO,ActiveBeamID,CF,SymbolRate,RXvoltage,ElevationOffset,LowBand_LO,HighBand_LO,BUC_LO,temperature,cpuUsage,forwardModcod,uptime,ESN0,ReceivePower,BE_RX,BE_TX,CD1_RX,CD1_TX,CD2_RX,CD2_TX,CD3_RX,CD3_TX,RT1_RX,RT1_TX,RT2_RX,RT2_TX,RT3_RX,RT3_TX
2020-07-29T08:54:11,New523-806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8b:ef:a2,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,61.0,12.96660117878193,21,874247,12.89999961853027,-44.09999847412109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:54:11,New511-806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8b:ef:8d,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,58.59999847412109,12.21896383186706,18,98790360,11.5,-46.29999923706055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:54:11,New517-606,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8c:0c:04,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,68.19999694824219,18.68884540117417,19,35002628,11.5,-59.90000152587891,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:54:11,New550-806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8b:e9:b3,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,48.59999847412109,15.5053974484789,21,37842308,13.39999961853027,-45.09999847412109,19,15,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:54:11,New546-806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8b:fb:bf,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,45.79999923706055,12.07065750736016,21,7192819,13.5,-44.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:54:11,New521-806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8b:f6:5c,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,58.0,12.92850146914789,21,2125559,13.30000019073486,-43.29999923706055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:54:11,New543-806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8c:06:3f,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,41.59999847412109,13.73895976447498,20,128574,12.60000038146973,-46.29999923706055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:54:11,New478-806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8b:ef:39,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,43.59999847412109,14.98530852105779,21,23895054,13.30000019073486,-45.79999923706055,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:54:11,YY01-806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8b:e7:a6,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,45.40000152587891,14.11764705882353,21,45871692,13.39999961853027,-45.09999847412109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:54:11,New540-806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8c:0c:c8,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,47.40000152587891,15.7843137254902,21,78362944,13.19999980926514,-45.59999847412109,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:54:11,JHY1699-606,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8b:f6:32,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,40.40000152587891,14.6078431372549,18,35040848,11.60000038146973,-49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:54:11,New554-806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8c:06:8c,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,49.0,13.44455348380766,21,178042,13.39999961853027,-45.90000152587891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:54:11,New545-806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8b:fb:c6,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,57.20000076293945,13.33333333333333,21,2129028,13.0,-43.90000152587891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:54:11,New519-806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8b:f6:39,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,60.20000076293945,12.05882352941176,21,832455,13.10000038146973,-43.70000076293945,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:54:11,YXH13899-803,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8b:f6:94,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,50.40000152587891,13.57421875,21,16665338,13.5,-45.09999847412109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:54:11,New507-806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8b:f1:f5,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,46.79999923706055,12.85574092247301,21,138079,13.69999980926514,-42.40000152587891,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:54:11,New516-806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8b:de:bc,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,54.0,19.15520628683694,21,847730,13.19999980926514,-45.09999847412109,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:54:11,BYH-New477-806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8b:ec:a7,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,46.79999923706055,12.6594700686948,21,773251,13.60000038146973,-45.59999847412109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:54:11,New506-806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8b:f4:cd,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,55.59999847412109,13.82352941176471,21,860318,13.19999980926514,-43.29999923706055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:54:11,YXH13269-New549-806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8b:f2:f8,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,50.40000152587891,13.89432485322896,21,130846,13.19999980926514,-47.29999923706055,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:54:11,New551-806,Newtec MDM2510 modem. Software version: 4.3.1.8. Hardware identifier: NTC/2499.AA,00:06:39:8b:f3:5a,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,48.40000152587891,15.24271844660194,21,339858,13.19999980926514,-46.40000152587891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:55:28,New583-806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8b:f2:26,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,46.79999923706055,13.83709519136408,21,1202982,13.19999980926514,-46.29999923706055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:55:28,New585-806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8b:ee:3d,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,56.0,12.91585127201565,21,25568568,13.5,-45.40000152587891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:55:28,New639-806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8b:ef:78,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,54.40000152587891,14.36950146627566,21,260174,13.39999961853027,-45.20000076293945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
