time,modem name,modemType,macaddress,HPS,beamName,satnetName,VNO,hub module,ActiveBeamID,CF,SymbolRate,RXvoltage,ElevationOffset,LowBand_LO,HighBand_LO,BUC_LO,temperature,cpuUsage,forwardModcod,uptime,ESN0,ReceivePower
2020-07-02T00:19:06,EXCITE_HP1_KBE5_ArrowTrading_B38,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:ec:fb,12,Beam-BHI-38,BHI-38-SN1,Kacific_SVNO,KAC_BHI-1,38,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,53,17.36585366,21,1065779,13.30000019,-30.29999924
2020-07-02T00:19:06,EXCITE_HP1_RAB26_OneStopMini2_B38,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:e0:d7,12,Beam-BHI-38,BHI-38-SN1,Kacific_SVNO,KAC_BHI-1,38,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,49.79999924,19.51456311,21,824111,12.80000019,-32
2020-07-02T00:19:06,POC-BHI-30-24,Newtec MDM2510 modem. Software version: 4.3.0.7. Hardware identifier: NTC/2499.AA,00:06:39:8b:ea:cb,8,Beam-BHI-24,BHI-24-SN1,OurTelecom_SVNO,KAC_BHI-1,24,19825000000,214285700,18v,68.4,17150000000,18050000000,27600000000,52.20000076,18.77431907,19,74074592,11.60000038,-28.89999962
2020-07-02T00:19:06,EXCITE_HP1_HGN4_MAF2-NS6_B14,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:f7:e4,13,Beam-BHI-14,BHI-14-SN1,Kacific_SVNO,KAC_BHI-2,14,19900000000,342857100,18v,68.4,17150000000,18050000000,27600000000,41.59999847,25.77114428,24,5395042,14.80000019,-24.29999924
2020-07-02T00:19:06,EXCITE_HP1_JWK_WRC_BunumWo_B14,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:f6:24,13,Beam-BHI-14,BHI-14-SN1,Kacific_SVNO,KAC_BHI-2,14,19900000000,342857100,18v,68.4,17150000000,18050000000,27600000000,44.79999924,17.39130435,21,751758,14,-27.20000076
2020-07-02T00:19:06,04-PMAMS,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:8f:d7,12,Beam-JAV-4,JAV-4-SN-1,PrimacomIN_SVNO,KAC_JAV-1,4,19800000000,171428600,18v,68.4,17150000000,18050000000,27600000000,45.79999924,20.83333333,20,23488726,12.30000019,-30.39999962
2020-07-02T00:19:06,EXCITE_HP1_KBE6_WNBHospitalityLtd_B38,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:fe:b3,12,Beam-BHI-38,BHI-38-SN1,Kacific_SVNO,KAC_BHI-1,38,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,46,17.6119403,20,2209847,12.5,-31.79999924
2020-07-02T00:19:06,EXCITE_HP3_JWK_WRC_Kindeng_B14,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:f9:49,13,Beam-BHI-14,BHI-14-SN1,Kacific_SVNO,KAC_BHI-2,14,19900000000,342857100,18v,68.4,17150000000,18050000000,27600000000,41,17.1539961,14,2126441,10.39999962,-24.29999924
2020-07-02T00:19:06,EXCITE_HP4_RAB13_StPeterChannlCollge_B38,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:fa:84,12,Beam-BHI-38,BHI-38-SN1,Kacific_SVNO,KAC_BHI-1,38,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,40.79999924,24.20135528,20,101128600,12.60000038,-32.90000153
2020-07-02T00:19:06,EXCITE_HP1_KNT01_Coffeeland_B14,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:05:a5,13,Beam-BHI-14,BHI-14-SN1,Kacific_SVNO,KAC_BHI-2,14,19900000000,342857100,18v,68.4,17150000000,18050000000,27600000000,42.20000076,18.57976654,21,300206016,13.19999981,-25.5
